dataset,n_pares_julgados,similaridade_mediana,acc_baseline,acc_reflexao_simple,ganho_medio_simple,acc_reflexao_complex,ganho_medio_complex
aqua,233,0.7545720934867859,0.7424892703862661,0.7510729613733905,0.008583690987124415,0.7725321888412017,0.030042918454935563
arc,295,0.5999695658683777,0.8203389830508474,0.8169491525423729,-0.003389830508474523,0.8338983050847457,0.013559322033898313
gsm8k,970,0.7123883068561554,0.9350515463917526,0.9041237113402062,-0.030927835051546393,0.9061855670103093,-0.028865979381443307
logiqa2,1560,0.6121476888656616,0.5192307692307693,0.5442307692307692,0.02499999999999991,0.5666666666666667,0.04743589743589738
openbookqa,498,0.6991944313049316,0.8253012048192772,0.8032128514056225,-0.02208835341365467,0.8172690763052208,-0.008032128514056325
