dataset,student,content,pool,depth,k,threshold,grid_stage,n_shared,wrong_to_right,right_to_wrong,kept_right,kept_wrong,rate_wrong_to_right,rate_right_to_wrong,utility,baseline_accuracy,condition_accuracy,delta_accuracy,utility_vs_baseline05,accuracy,accuracy_answered,notas_media,pct_reusou_controle,similaridade_media,palavras_prompt,palavras_de_nota,mcnemar_p
logiqa2,llama3-8b,lesson,all,simple,1,0.65,completa,300,18,28,139,115,0.06,0.0933,-0.0333,0.5567,0.5233,-0.0333,-0.0267,0.5233,0.5268,0.7233333333333334,0.27666666666666667,0.7004958286812778,266.0,77.0,0.18392482137699062
logiqa2,llama3-8b,lesson,all,simple,1,0.7,completa,300,10,10,157,123,0.0333,0.0333,0.0,0.5567,0.5567,0.0,0.0067,0.5567,0.5604,0.25333333333333335,0.7466666666666667,0.7521713854450929,207.5,18.5,1.0
logiqa2,llama3-8b,lesson,all,simple,3,0.0,completa,300,30,44,123,103,0.1,0.1467,-0.0467,0.5567,0.51,-0.0467,-0.04,0.51,0.5117,3.0,0.0,0.658207194407781,346.0,157.0,0.13017768031912758
logiqa2,llama3-8b,lesson,all,simple,3,0.65,completa,300,24,28,139,109,0.08,0.0933,-0.0133,0.5567,0.5433,-0.0133,-0.0067,0.5433,0.5433,1.6566666666666667,0.27666666666666667,0.6861304451701461,300.0,111.0,0.6778086391424605
logiqa2,llama3-8b,lesson,all,simple,3,0.7,completa,300,10,8,159,123,0.0333,0.0267,0.0067,0.5567,0.5633,0.0067,0.0133,0.5633,0.5652,0.43,0.7466666666666667,0.7409248452698975,207.5,18.5,0.8145294189453125
logiqa2,llama3-8b,lesson,all,complex,1,0.0,completa,300,22,39,128,111,0.0733,0.13,-0.0567,0.5567,0.5,-0.0567,-0.05,0.5,0.5,1.0,0.0,0.6808113245169322,275.5,86.5,0.03961701489849968
logiqa2,llama3-8b,lesson,all,complex,1,0.65,completa,300,18,29,138,115,0.06,0.0967,-0.0367,0.5567,0.52,-0.0367,-0.03,0.52,0.52,0.7333333333333333,0.26666666666666666,0.7014445911754261,264.0,75.0,0.14386508844054896
logiqa2,llama3-8b,lesson,all,complex,1,0.7,completa,300,11,8,159,122,0.0367,0.0267,0.01,0.5567,0.5667,0.01,0.0167,0.5667,0.5686,0.25666666666666665,0.7433333333333333,0.7546828443353827,208.0,19.0,0.6476058959960938
logiqa2,llama3-8b,lesson,all,complex,3,0.0,completa,300,23,37,130,110,0.0767,0.1233,-0.0467,0.5567,0.51,-0.0467,-0.04,0.51,0.5117,3.0,0.0,0.6586237395471997,332.5,143.5,0.09246098107292373
logiqa2,llama3-8b,lesson,all,complex,3,0.65,completa,300,16,32,135,117,0.0533,0.1067,-0.0533,0.5567,0.5033,-0.0533,-0.0467,0.5033,0.505,1.6733333333333333,0.26666666666666666,0.6866132427797171,297.5,108.5,0.029304946720529308
logiqa2,llama3-8b,lesson,all,complex,3,0.7,completa,300,9,8,159,124,0.03,0.0267,0.0033,0.5567,0.56,0.0033,0.01,0.56,0.5619,0.43,0.7433333333333333,0.7436826533569402,208.0,19.0,1.0
logiqa2,llama3-8b,lesson,errors,simple,1,0.0,completa,300,27,38,129,106,0.09,0.1267,-0.0367,0.5567,0.52,-0.0367,-0.03,0.52,0.5235,1.0,0.0,0.6599920223156611,281.0,92.0,0.2145391940081784
logiqa2,llama3-8b,lesson,errors,simple,1,0.65,completa,300,15,19,148,118,0.05,0.0633,-0.0133,0.5567,0.5433,-0.0133,-0.0067,0.5433,0.547,0.5466666666666666,0.4533333333333333,0.6963538142239175,252.0,63.0,0.6075913612730801
logiqa2,llama3-8b,lesson,errors,simple,1,0.7,completa,300,7,7,160,126,0.0233,0.0233,0.0,0.5567,0.5567,0.0,0.0067,0.5567,0.5604,0.17666666666666667,0.8233333333333334,0.7460739353917679,199.0,10.0,1.0
logiqa2,llama3-8b,lesson,errors,simple,3,0.0,completa,300,26,39,128,107,0.0867,0.13,-0.0433,0.5567,0.5133,-0.0433,-0.0367,0.5133,0.5151,3.0,0.0,0.6382393020391465,344.5,155.5,0.1360323948778921
logiqa2,llama3-8b,lesson,errors,simple,3,0.65,completa,300,18,19,148,115,0.06,0.0633,-0.0033,0.5567,0.5533,-0.0033,0.0033,0.5533,0.5552,1.1833333333333333,0.4533333333333333,0.6828073277706053,262.5,73.5,1.0
logiqa2,llama3-8b,lesson,errors,simple,3,0.7,completa,300,9,7,160,124,0.03,0.0233,0.0067,0.5567,0.5633,0.0067,0.0133,0.5633,0.5652,0.25333333333333335,0.8233333333333334,0.7377160673246445,199.0,10.0,0.803619384765625
logiqa2,llama3-8b,lesson,errors,complex,1,0.0,completa,300,25,34,133,108,0.0833,0.1133,-0.03,0.5567,0.5267,-0.03,-0.0233,0.5267,0.5267,1.0,0.0,0.661770022114118,277.5,88.5,0.2975952082844287
logiqa2,llama3-8b,lesson,errors,complex,1,0.65,completa,300,16,19,148,117,0.0533,0.0633,-0.01,0.5567,0.5467,-0.01,-0.0033,0.5467,0.5467,0.5566666666666666,0.44333333333333336,0.6978851820894344,250.5,61.5,0.735878800856881
logiqa2,llama3-8b,lesson,errors,complex,1,0.7,completa,300,8,5,162,125,0.0267,0.0167,0.01,0.5567,0.5667,0.01,0.0167,0.5667,0.5686,0.18,0.82,0.7512204636026312,199.0,10.0,0.5810546875
logiqa2,llama3-8b,lesson,errors,complex,3,0.0,completa,300,29,38,129,104,0.0967,0.1267,-0.03,0.5567,0.5267,-0.03,-0.0233,0.5267,0.5284,3.0,0.0,0.6390516891744401,333.0,144.0,0.3284320626971897
logiqa2,llama3-8b,lesson,errors,complex,3,0.65,completa,300,21,23,144,112,0.07,0.0767,-0.0067,0.5567,0.55,-0.0067,0.0,0.55,0.5518,1.19,0.44333333333333336,0.684480704590232,260.5,71.5,0.880395821280672
logiqa2,llama3-8b,lesson,errors,complex,3,0.7,completa,300,7,7,160,126,0.0233,0.0233,0.0,0.5567,0.5567,0.0,0.0067,0.5567,0.5585,0.2633333333333333,0.82,0.7422204473872244,199.0,10.0,1.0
logiqa2,llama3-8b,lesson_source,all,simple,1,0.0,completa,300,27,38,129,106,0.09,0.1267,-0.0367,0.5567,0.52,-0.0367,-0.03,0.52,0.5235,1.0,0.0,0.6792487887541453,376.0,187.0,0.2145391940081784
logiqa2,llama3-8b,lesson_source,all,simple,1,0.65,completa,300,23,28,139,110,0.0767,0.0933,-0.0167,0.5567,0.54,-0.0167,-0.01,0.54,0.5436,0.7233333333333334,0.27666666666666667,0.7004958286812778,358.5,169.5,0.5758493477318467
logiqa2,llama3-8b,lesson_source,all,simple,1,0.7,completa,300,11,11,156,122,0.0367,0.0367,0.0,0.5567,0.5567,0.0,0.0067,0.5567,0.5585,0.25333333333333335,0.7466666666666667,0.7521713854450929,208.0,19.0,1.0
logiqa2,llama3-8b,lesson_source,all,simple,3,0.0,completa,300,29,42,125,104,0.0967,0.14,-0.0433,0.5567,0.5133,-0.0433,-0.0367,0.5133,0.5168,3.0,0.0,0.658207194407781,625.0,436.0,0.1539127693264563
logiqa2,llama3-8b,lesson_source,all,simple,3,0.65,completa,300,19,28,139,114,0.0633,0.0933,-0.03,0.5567,0.5267,-0.03,-0.0233,0.5267,0.5302,1.6566666666666667,0.27666666666666667,0.6861304451701461,465.0,276.0,0.24296021728332556
logiqa2,llama3-8b,lesson_source,all,simple,3,0.7,completa,300,9,12,155,124,0.03,0.04,-0.01,0.5567,0.5467,-0.01,-0.0033,0.5467,0.5485,0.43,0.7466666666666667,0.7409248452698975,208.0,19.0,0.6636238098144531
logiqa2,llama3-8b,lesson_source,all,complex,1,0.0,completa,300,28,37,130,105,0.0933,0.1233,-0.03,0.5567,0.5267,-0.03,-0.0233,0.5267,0.5267,1.0,0.0,0.6808113245169322,372.0,183.0,0.3210841356849955
logiqa2,llama3-8b,lesson_source,all,complex,1,0.65,completa,300,24,29,138,109,0.08,0.0967,-0.0167,0.5567,0.54,-0.0167,-0.01,0.54,0.54,0.7333333333333333,0.26666666666666666,0.7014445911754261,354.0,165.0,0.5831321542611763
logiqa2,llama3-8b,lesson_source,all,complex,1,0.7,completa,300,13,12,155,120,0.0433,0.04,0.0033,0.5567,0.56,0.0033,0.01,0.56,0.5619,0.25666666666666665,0.7433333333333333,0.7546828443353827,208.5,19.5,1.0
logiqa2,llama3-8b,lesson_source,all,complex,3,0.0,completa,300,28,39,128,105,0.0933,0.13,-0.0367,0.5567,0.52,-0.0367,-0.03,0.52,0.5217,3.0,0.0,0.6586237395471997,611.5,422.5,0.22154872964481104
