model,dataset,depth,pool,policy,threshold,n,baseline_accuracy,treatment_accuracy,difference,ci_low,ci_high,helped,harmed,mcnemar_p,memory_use_rate
mistral-7b,arc,complex,correct,always_top,,121,0.7768595041322314,0.7520661157024794,-0.024793388429752067,-0.09917355371900827,0.049586776859504134,9,12,0.6636238098144531,
mistral-7b,arc,simple,all,always_top,,121,0.7768595041322314,0.7768595041322314,0.0,-0.08264462809917356,0.08285123966942036,13,13,1.0,
mistral-7b,arc,simple,all,placebo,,121,0.7768595041322314,0.6859504132231405,-0.09090909090909091,-0.15702479338842976,-0.024793388429752067,4,15,0.0192108154296875,
mistral-7b,arc,simple,errors,always_top,,121,0.7768595041322314,0.7603305785123967,-0.01652892561983471,-0.05785123966942149,0.024793388429752067,2,4,0.6875,
mistral-7b,arc,simple,correct,always_top,,121,0.7768595041322314,0.7933884297520661,0.01652892561983471,-0.05785123966942149,0.09090909090909091,11,9,0.8238029479980469,
mistral-7b,gsm8k,complex,all,always_top,,435,0.31494252873563217,0.2689655172413793,-0.04597701149425287,-0.08735632183908046,-0.004597701149425287,31,51,0.03524144017874746,
mistral-7b,gsm8k,complex,all,threshold_top,0.299953248500824,435,0.31494252873563217,0.2689655172413793,-0.04597701149425287,-0.08735632183908046,-0.004597701149425287,31,51,0.03524144017874746,1.0
mistral-7b,gsm8k,complex,all,placebo,,435,0.31494252873563217,0.33793103448275863,0.022988505747126436,-0.022988505747126436,0.06896551724137931,57,47,0.3775839232980986,
mistral-7b,gsm8k,complex,errors,always_top,,435,0.31494252873563217,0.27586206896551724,-0.03908045977011494,-0.0735632183908046,-0.0022988505747126436,21,38,0.036343179957053884,
mistral-7b,gsm8k,complex,errors,threshold_top,0.2999545407295227,435,0.31494252873563217,0.27586206896551724,-0.03908045977011494,-0.0735632183908046,-0.004597701149425287,21,38,0.036343179957053884,0.7011494252873564
mistral-7b,gsm8k,complex,correct,always_top,,435,0.31494252873563217,0.3080459770114943,-0.006896551724137931,-0.029885057471264367,0.013850574712643364,10,13,0.6776394844055176,
mistral-7b,gsm8k,complex,correct,threshold_top,0.29995308339595794,435,0.31494252873563217,0.3080459770114943,-0.006896551724137931,-0.027643678160919536,0.013793103448275862,10,13,0.6776394844055176,0.2988505747126437
mistral-7b,gsm8k,simple,all,always_top,,435,0.31494252873563217,0.2850574712643678,-0.029885057471264367,-0.07126436781609195,0.009195402298850575,31,44,0.16542794172425662,
