dataset,student,depth,k,threshold,n_shared,wrong_to_right,right_to_wrong,kept_right,kept_wrong,rate_wrong_to_right,rate_right_to_wrong,utility,baseline_accuracy,condition_accuracy,delta_accuracy,accuracy,accuracy_answered,mean_retrieved,pct_fallback_baseline,mcnemar_p
arc,llama3-8b,simple,1,0.65,298,11,19,233,35,0.0369,0.0638,-0.0268,0.8456,0.8188,-0.0268,0.8188,0.8215,0.7315436241610739,0.2684563758389262,0.20048842206597334
arc,llama3-8b,simple,1,0.69,298,6,15,237,40,0.0201,0.0503,-0.0302,0.8456,0.8154,-0.0302,0.8154,0.8182,0.47651006711409394,0.5234899328859061,0.0783538818359375
arc,llama3-8b,simple,1,0.73,298,4,10,242,42,0.0134,0.0336,-0.0201,0.8456,0.8255,-0.0201,0.8255,0.8283,0.24161073825503357,0.7583892617449665,0.1795654296875
arc,llama3-8b,simple,2,0.0,298,19,21,231,27,0.0638,0.0705,-0.0067,0.8456,0.8389,-0.0067,0.8389,0.8475,2.0,0.0,0.8746293123804207
arc,llama3-8b,simple,2,0.52,298,16,21,231,30,0.0537,0.0705,-0.0168,0.8456,0.8289,-0.0168,0.8289,0.8345,1.9932885906040267,0.003355704697986577,0.5113757815852296
arc,llama3-8b,simple,2,0.65,298,11,16,236,35,0.0369,0.0537,-0.0168,0.8456,0.8289,-0.0168,0.8289,0.8373,1.2651006711409396,0.2684563758389262,0.44206833839416504
arc,llama3-8b,simple,2,0.69,298,7,15,237,39,0.0235,0.0503,-0.0268,0.8456,0.8188,-0.0268,0.8188,0.8215,0.714765100671141,0.5234899328859061,0.13380050659179688
arc,llama3-8b,simple,2,0.73,298,4,7,245,42,0.0134,0.0235,-0.0101,0.8456,0.8356,-0.0101,0.8356,0.8384,0.3187919463087248,0.7583892617449665,0.548828125
arc,llama3-8b,simple,3,0.0,298,15,26,226,31,0.0503,0.0872,-0.0369,0.8456,0.8087,-0.0369,0.8087,0.8114,3.0,0.0,0.11727520595741225
arc,llama3-8b,simple,3,0.52,298,16,25,227,30,0.0537,0.0839,-0.0302,0.8456,0.8154,-0.0302,0.8154,0.8182,2.98993288590604,0.003355704697986577,0.21102359760880063
arc,llama3-8b,simple,3,0.65,298,11,13,239,35,0.0369,0.0436,-0.0067,0.8456,0.8389,-0.0067,0.8389,0.8418,1.6778523489932886,0.2684563758389262,0.8388197422027588
